"x","y"
3756,7734
3048,8358
2753,7623
3305,8464
3985,7504
2934,7724
2554,8007
3129,7688
3797,8121
3069,7713
2750,7560
2870,7715
3395,8529
4103,8065
2632,8442
3891,7902
2859,7702
3592,8583
2579,8791
3504,8606
2875,8227
3290,8459
2799,8204
3267,7960
4040,8024
3192,8202
2709,8394
2693,7756
2952,8037
2809,8725
3387,8536
3734,8704
3283,7951
3302,8352
3750,7845
4010,7865
3654,8683
3987,8008
3369,7875
3147,7656
3899,8449
3732,7755
3305,8378
2937,8640
3545,7557
2528,8006
2706,8853
4000,7507
3113,7688
3947,7692
3754,8098
2714,7569
3682,7758
3208,8391
3941,7612
3344,8585
3211,8225
2852,8540
3946,8439
3825,7741
3931,7833
3340,8453
2863,7678
3490,8818
2612,8910
4125,8083
3908,7902
3160,8795
3497,8800
3987,7550
3103,7944
2607,8120
2918,7702
4072,8189
2849,7935
2962,7994
3790,8376
3863,7858
3252,8307
2933,9005
3947,8167
3057,8032
3310,8303
3235,7954
4005,7726
2927,8077
3282,8259
3220,8513
3910,7550
4011,8328
3295,7974
2724,8786
2738,8342
2990,7990
3833,7759
3447,8836
4019,7989
3369,8479
2579,8028
3317,8254
2904,9068
4095,8097
4022,8094
3946,8370
4070,8029
2582,8406
3866,8378
3979,8303
2955,8616
4048,8146
3454,8227
3974,7990
3626,8707
3901,8401
3512,8941
3015,8620
2698,8463
3816,8164
4066,7757
2560,8535
2528,8559
3534,8950
3785,8709
3048,8394
3110,7929
2777,7552
3120,7912
3954,7749
3999,8377
2934,8028
3627,8631
3033,8666
3349,8835
2520,8973
4004,8157
3320,8574
3431,8856
2903,9011
3675,8708
3847,8444
3022,7747
2893,7987
3918,7504
2859,8617
3711,8656
3808,7844
3275,9004
4011,8038
2627,8041
3726,8577
3334,8908
3861,8326
3095,8104
3595,7662
3516,7610
3372,8890
2926,9049
4046,8284
3400,8923
3486,8637
3905,7762
4047,8261
3652,8648
2993,8544
3258,8876
3372,8610
3723,8644
2927,7667
3924,7806
3475,8635
3490,8625
2756,8894
2578,8476
4083,7798
2582,7951
2825,8154
3312,8928
2884,8950
2963,8544
2918,7679
3316,9009
3470,8848
2733,7882
2594,8075
3878,7762
3233,8465
2508,8706
3556,8100
3978,8215
3909,7737
4009,8190
3365,8553
3424,8613
3879,7772
3371,8848
3316,8991
2974,9068
3591,8326
3229,8855
3515,8172
3447,8928
3510,8591
2846,7693
3259,8351
3697,8373
3381,8603
4119,8116
3691,8636
2770,8487
3464,8763
3711,8638
3510,8686
2552,9007
2616,7916
3344,8793
4084,8223
3230,8875
3161,8887
3928,8249
3481,8887
3529,8664
3744,8600
3930,7563
2684,8805
3288,8893
3326,8931
2982,8720
3705,8362
3442,8531
3865,7770
3275,8787
3939,7810
3645,8700
3296,8951
3897,7739
3425,8711
3560,8657
2501,8162
2561,8036
3411,8924
3439,8722
3268,8987
2660,7587
2549,8969
3486,8177
2793,8505
3276,8868
4049,8240
4046,8066
2508,8686
3435,8930
3898,8431
3618,8591
3994,8207
3941,7824
3383,8474
3202,8912
4036,8256
3300,8925
3512,8860
3265,8860
3837,7837
3082,8066
3705,7717
3469,8888
3179,8872
3074,8046
3920,7741
3427,8149
2900,7665
3877,8438
3933,8469
3652,7676
3608,8620
2526,8945
3370,7819
2585,8882
3595,7639
3684,8480
3211,8928
2987,8662
3178,8922
3915,8359
3824,7848
2508,8962
3580,8702
3681,8455
3485,8931
3547,8631
3676,8726
3431,8909
3386,8816
3161,8873
4015,7768
3993,7877
3582,7625
3006,8719
3842,7505
3243,8986
2698,8415
4035,8170
2624,8876
4041,8052
3986,8274
3692,7699
2563,8679
3527,8906
3933,8341
3416,8750
3929,8375
3952,7563
3859,7519
3196,8941
3488,8845
3321,8424
2985,8681
2725,8869
2514,9043
3952,7542
2912,8963
4048,8312
3530,8698
3657,7738
3189,8899
2837,8718
3933,7761
3879,7788
3531,8988
2519,8237
3961,7815
3465,8956
3568,8678
3271,8935
2915,8986
2871,8971
3236,8358
3512,8887
3976,8409
3385,8864
3960,7785
3292,9041
3930,8301
3962,7524
3982,7699
3804,7725
2739,8751
3324,8956
4047,7743
3453,8912
2506,8034
2601,8424
2740,7608
3207,8331
3416,8207
2851,8214
3372,7859
3146,7689
2675,8123
2860,8253
2762,7598
3277,7987
3356,7995
2765,7615
3382,7869
3030,8376
2793,7592
2769,7532
2802,8171
2798,7896
2745,8465
3779,7736
3100,7674
3055,7785
2656,7854
2667,7904
3278,8399
2773,7893
4010,8204
3254,8528
2710,8436
3050,8048
2744,8370
2824,7684
2910,8565
3075,7982
3407,7895
2798,8818
3019,8364
3129,7959
2520,8325
3304,7766
3381,7927
3401,7885
3998,8233
3064,7981
3114,7975
3388,7990
3329,8535
3905,8313
3454,8582
2579,8735
2769,7868
3127,7972
3976,8239
4012,7526
2593,8368
3712,8404
3313,8523
3560,8289
3187,7967
4014,7516
3901,8302
3751,7747
3075,7989
2618,8077
3211,8422
3377,7991
3364,7912
2810,8187
2951,8693
3416,8594
3348,7698
3365,8777
3966,8481
3705,8392
3255,8426
3413,8577
2854,8164
3045,7991
3505,8048
2574,8363
3149,7963
2517,8577
3692,8406
3533,8053
3428,8584
3563,8274
4043,8357
2651,8423
3467,8590
2714,7613
2926,9068
2574,8697
3361,7932
3296,7744
2994,8021
2973,8020
2626,8096
2806,8894
2547,8344
3994,7597
3730,7738
3341,8778
2680,7838
3999,7580
2565,8722
3316,7774
3383,7896
3260,9030
2677,8449
3331,7709
2708,7625
2794,8791
2609,8060
3380,7915
3707,8602
3957,7608
4103,8152
2548,8709
3733,8608
3237,8410
3272,8497
2699,8132
3874,7846
3915,7653
3540,8976
3101,8481
3378,7651
2871,9000
3172,8843
3097,8466
3291,8303
4086,8020
3467,8679
2732,7848
2629,8420
3719,8720
2956,8012
3273,9052
3572,8299
3237,8433
3078,8477
3453,8691
3960,7643
2756,7825
3388,8575
3559,7616
3973,8260
3681,8610
4109,8031
3763,8159
2628,8948
3733,7868
3583,7562
4094,7935
3500,7915
2980,8082
3292,8704
2543,8768
2936,8212
3173,8119
3537,7900
2875,8843
3629,8764
3753,8053
2529,8468
3435,7646
3592,8125
2776,7748
2535,8484
2583,8620
4071,7865
2813,8298
3791,8578
2920,8180
4083,7958
3806,7642
4025,8582
3203,7671
3488,7922
3057,8133
